Nome,in0,in1,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in2,in3,in4,in5,in6,in7,in8,in9
C400-5,4.38185,1.99432,13.8807,3.2361,5.34976,1.27127,2.17507,0.723374,0.958486,3.41967,2.08856,1.32965,0.666114,1.44646,8.44556,0.583364,2.60883,2.08129,5.3449,8.83454
C400-6,1.89122,2.66536,2.28998,1.53476,8.70001,9.33245,2.96305,1.75243,3.94187,2.92676,3.89383,2.9992,0.60044,7.27577,2.43913,0.821789,1.54259,12.6564,1.13353,2.97856
C50-7,0.003525,0.007032,0.003796,0.003315,0.003228,0.003881,0.021761,0.041164,0.003538,0.010064,0.01389,0.008995,0.003932,0.004295,0.010044,0.015717,0.006052,0.033265,0.009266,0.006865
C50-8,0.00673,0.015413,0.010037,0.007992,0.019326,0.014425,0.00659,0.008881,0.008863,0.004588,0.010138,0.005466,0.029182,0.00356,0.006543,0.008875,0.004786,0.005394,0.009857,0.003598
C500-1,0.27157,0.212728,0.398181,0.038656,0.03901,0.611144,0.586959,0.050282,0.129273,1.36688,0.263234,2.61454,0.042372,0.037905,0.135005,0.839422,0.075676,0.11011,0.103369,0.100054
C500-2,2.90411,0.423738,2.02334,0.751825,3.00523,2.43975,2.50985,1.86469,6.83683,3.63093,2.5711,3.57487,0.793436,0.895724,2.2028,0.749657,0.557994,0.4261,1.78211,4.73822
C500-3,1.44142,1.60464,1.30381,2.55946,2.00394,0.666034,2.36687,9.01087,3.26425,0.413662,2.54653,3.05628,2.40922,2.07628,2.51566,1.9811,1.75105,8.17772,3.04588,3.63583
C500-4,1.06471,5.22141,2.30073,1.13762,0.651175,1.65621,4.59783,0.589831,9.35246,3.81467,5.48042,3.03554,4.65254,13.4016,2.94565,1.01373,1.44236,0.740902,1.29541,0.801977
C500-5,9.56921,1.02136,9.09416,2.12414,0.897548,10.0087,6.28148,1.58523,9.81393,21.2387,10.2305,1.0208,0.994082,1.91718,2.19922,6.48463,2.42024,6.22009,4.84648,1.56026
C500-6,13.7176,10.6651,1.75103,1.82211,21.3584,5.57103,9.21172,30.7065,8.15428,2.07378,3.63673,4.06905,4.88779,0.551748,8.64583,3.89215,9.16119,5.07392,19.056,0.261492
C600-1,0.061661,0.481442,0.108708,0.21026,2.12487,0.15854,0.569715,0.301895,4.40123,1.80952,4.14917,0.472562,1.1116,0.829802,0.044527,0.117771,0.238772,0.947897,0.373693,2.16641
C600-2,7.68018,5.19309,3.23068,2.01623,0.240358,1.515,4.88338,4.55138,4.26258,0.823584,10.2485,7.4534,0.469916,7.7561,3.23468,2.56773,2.8011,4.77563,13.4203,4.64522
C600-3,2.72906,0.935549,8.39246,3.929,4.75204,10.1691,10.8867,1.45688,4.98304,13.4341,3.97498,3.93447,1.65198,5.2332,14.4121,7.56249,8.99541,1.44616,5.84049,1.36221
C600-4,4.94306,4.81833,30.0363,7.76131,3.38692,4.92957,1.21523,5.57028,0.947172,11.7351,9.16546,5.68197,5.76321,6.62892,1.73904,5.69327,4.43207,15.6536,7.12422,1.2841
C600-5,6.44869,3.58085,27.805,5.12092,3.98509,8.31184,13.0204,14.2336,14.4441,21.979,16.7739,6.10879,3.30152,22.247,16.0449,6.83762,8.45793,21.3138,5.92305,11.5252
C600-6,8.25343,19.4362,2.14869,2.40818,6.98559,3.53354,2.08173,55.7251,3.80681,25.2791,6.60387,29.026,12.3827,5.46978,6.66777,55.587,1.89939,5.82354,31.5878,15.1676
C700-1,0.318294,4.20021,1.25772,16.2697,0.785378,1.37959,0.065336,4.96911,0.096173,2.01484,2.83025,13.5626,1.8568,1.14675,2.13796,4.66261,0.425078,4.11726,5.93182,6.51461
C700-2,14.1381,76.8627,2.47614,5.18173,6.66761,1.4488,9.73976,16.6324,3.6999,9.26044,16.7497,7.0151,11.4117,2.52819,1.61897,8.157,3.58639,0.826816,9.58745,4.17995
C700-3,10.7997,25.141,6.25079,15.6384,5.32376,5.3235,1.7061,10.9704,14.5708,9.10829,10.6381,4.64367,61.9389,2.82431,29.6382,6.8625,19.9605,11.4569,4.24615,13.711
C700-4,3.09739,7.47262,7.14847,34.3322,6.71463,3.59004,2.54673,1.42452,3.75414,19.4273,5.01624,7.12216,27.3299,3.18824,17.2138,16.0488,10.9222,2.04688,12.0327,11.119
C700-5,26.8186,15.646,19.4254,11.5418,36.9702,20.4641,6.32928,16.3312,1.37966,33.106,9.28991,12.7074,9.88793,18.926,4.03535,36.7477,7.60933,17.0589,5.31371,8.17288
